Chapter,Number of Duas,Arabic,Transliteration,Translation,Reference
Uncategorized,N/A,وَجَّهـتُ وَجْهِـيَ لِلَّذي فَطَرَ السَّمـواتِ وَالأَرْضَ حَنـيفَاً وَمـا أَنا مِنَ المشْرِكين  إِنَّ صَلاتـي  وَنُسُكي  وَمَحْـيايَ  وَمَماتـي للهِ رَبِّ العالَمين  لا شَريـكَ لَهُ وَبِذلكَ أُمِرْتُ وَأَنا مِنَ المسْلِـمين. اللّهُـمَّ أَنْتَ المَلِكُ لا إِلهَ إِلاّ أَنْت أَنْتَ رَبِّـي وَأَنـا عَبْـدُك  ظَلَمْـتُ نَفْسـي وَاعْـتَرَفْتُ بِذَنْبـي فَاغْفِرْ لي ذُنوبي جَميعاً إِنَّـه لا يَغْـفِرُ الذُّنـوبَ إلاّ أَنْت. وَاهْدِنـي لأَحْسَنِ الأَخْلاقِ لا يَهْـدي لأَحْسَـنِها إِلاّ أَنْـت  وَاصْـرِف عَـنّْي سَيِّئَهـا لا يَصْرِفُ عَـنّْي سَيِّئَهـا إِلاّ أَنْـت لَبَّـيْكَ وَسَعْـدَيْك وَالخَـيْرُ كُلُّـهُ بِيَـدَيْـك وَالشَّرُّ لَيْـسَ إِلَـيْك  أَنا بِكَ وَإِلَيْـك  تَبـارَكْتَ وَتَعـالَيتَ أَسْتَغْـفِرُكَ وَأَتوبُ إِلَـيك,"Wajjahtu wajhiya li 'l-ladhî faṭara s-samāwāti wa 'l-arḍa,ḥanīfan wa mā ana min al-mushrikīna. Inna salāti wa nusukī, wa mahyāya wa mamātī lillāhi rabbi 'l-`ālamīna. lā sharīka lahu. Wa bi dhālika umirtu wa ana min al-muslimīna. Allāhumma anta 'l-maliku lā ilāha illā anta. Anta rabbī wa ana `abduka,ẓalamtu nafsī wa`taraftu bi dhanbī. Faghfir lī dhunūbī jamī`an. innahu lā yaghfiru 'dh-dhunūba illā anta. Wahdinī li-aḥsani 'l-akhlāqi. lā yahdī li aḥsanihā illā anta. Waṣrif `annī sayyi'ahā. lā yaṣrifu `annī sayyi'ahā illā anta. Labbayka wa sa`dayka. wa 'l-khayru kulluhu bi yadayka. wa 'sh-sharru laysa ilayka. ana bika wa ilayka. tabārakta wa ta`ālayta. astaghfiruka wa atūbu ilayka.","I have turned my face sincerely towards He who has brought forth the heavens and the Earth and I am not of those who associate (others with Allah). Indeed my prayer, my sacrifice, my life and my death are for Allah, Lord of the worlds, no partner has He, with this I am commanded and I am of the Muslims. O Allah, You are the Sovereign, none has the right to be worshipped except You. You are my Lord and I am Your servant, I have wronged my own soul and have acknowledged my sin, so forgive me all my sins for no one forgives sins except You. Guide me to the best of characters for none can guide to it other than You, and deliver me from the worst of characters for none can deliver me from it other than You. Here I am, in answer to Your call, happy to serve you. All good is within Your hands and evil does not stem from You. I exist by your will and will return to you. Blessed and High are You, I seek Your forgiveness and repent unto You.",Reference:Muslim 1/534Hisnul Muslim 29
Uncategorized,N/A,اللّهُـمَّ رَبَّ جِـبْرائيل  وَميكـائيل  وَإِسْـرافيل فاطِـرَ السَّمواتِ وَالأَرْض  عالـِمَ الغَيْـبِ وَالشَّهـادَةِ أَنْـتَ تَحْـكمُ بَيْـنَ عِبـادِكَ فيـما كانوا فيهِ يَخْتَلِفـون. اهدِنـي لِمـا اخْتُـلِفَ فيـهِ مِنَ الْحَـقِّ بِإِذْنِك  إِنَّـكَ تَهْـدي مَنْ تَشـاءُ إِلى صِراطٍ مُسْتَقـيم,"Allāhumma, rabba Jibrā'īla, wa Mīkā'īla, wa IsrāfīlaFāṭira 's-samāwāti wa 'l-arḍi, `ālima 'l-ghaybi wa 'sh-shahādati. anta taḥkumu bayna `ibādika fīmā kānū fīhi yakhtalifūna. Ihdinī li makhtulifa fīhi min al-ḥaqqi bi idhnika. Innaka tahdī man tashā'u ilā ṣirāṭin mustaqīm.","O Allah, Lord of Jibraīl, Mīkaīl and Israfīl (great angels), Creator of the heavens and the Earth, Knower of the seen and the unseen. You are the arbitrator between Your servants in that which they have disputed. Guide me to the truth by Your leave, in that which they have differed, for verily You guide whom You will to a straight path.""",Reference:Muslim 1/534Hisnul Muslim 30
Uncategorized,N/A,اللهُ أَكْبَـرُ كَبـيرا  اللهُ أَكْبَـرُ كَبـيرا  اللهُ أَكْبَـرُ كَبـيرا  وَالْحَـمْدُ للهِ كَثـيرا  وَالْحَـمْدُ للهِ كَثـيرا  وَالْحَـمْدُ للهِ كَثـيرا  وَسُبْـحانَ اللهِ بكْـرَةً وَأَصيـلا.( ثَلاثاً ) أَعـوذُ بِاللهِ مِنَ الشَّـيْطانِ مِنْ نَفْخِـهِ وَنَفْـثِهِ وَهَمْـزِه,"Allāhu 'Akbar Kabīra. Allāhu 'Akbar Kabīra. Allāhu 'Akbar Kabīra. walḥamdu lillāhi kathīra. walḥamdu lillāhi kathīra. walḥamdu lillāhi kathīra. wa Subḥānallāhi bukratan wa'aṣīla. [Recite three times in Arabic.] 'A `ūdhu billāhi min ash-shayṭānmin nafkhihi, wa nafthihi, wa hamzihi.","Allah is the Greatest, Most Great. Allah is the Greatest, Most Great. Allah is the Greatest, Most Great. Praise is to Allah, abundantly. Praise is to Allah, abundantly. Praise is to Allah, abundantly. Glory is to Allah, at the break of day and at its end. [Recite three times in Arabic.] I seek refuge in Allah from Satan. From his breath, and from his voice, and from his whisper.","Reference:Abu Dawud 1/203, Ibn Majah 1/265, ai Ahmad 4/85. Muslim recorded a similar Hadil 1/420.Hisnul Muslim 31"
Uncategorized,N/A,اللّهُـمَّ لَكَ الْحَمْدُ أَنْتَ نـورُ السَّمـواتِ وَالأَرْضِ وَمَنْ فيـهِن  وَلَكَ الْحَمْدُ أَنْتَ قَـيِّمُ السَّـمواتِ وَالأَرْضِ وَمَنْ فيـهِن  [وَلَكَ الْحَمْدُ أَنْتَ رَبُّ السَّـمواتِ وَالأَرْضِ وَمَنْ فيـهِن] [وَلَكَ الْحَمْدُ لَكَ مُلْـكُ السَّـمواتِ وَالأَرْضِ وَمَنْ فيـهِن] [وَلَكَ الْحَمْدُ أَنْتَ مَلِـكُ السَّـمواتِ وَالأَرْضِ ] [وَلَكَ الْحَمْدُ] [أَنْتَ الْحَـقّ وَوَعْـدُكَ الْحَـق  وَقَوْلُـكَ الْحَـق  وَلِقـاؤُكَ الْحَـق  وَالْجَـنَّةُحَـق  وَالنّـارُ حَـق  وَالنَّبِـيّونَ حَـق  وَمـحَمَّدٌ حَـق  وَالسّـاعَةُحَـق] [اللّهُـمَّ لَكَ أَسْلَمت  وَعَلَـيْكَ تَوَكَّلْـت  وَبِكَ آمَنْـت  وَإِلَـيْكَ أَنَبْـت  وَبِـكَ خاصَمْت  وَإِلَـيْكَ حاكَمْـت . فاغْفِـرْ لي مـا قَدَّمْتُ  وَما أَخَّـرْت  وَما أَسْـرَرْت  وَما أَعْلَـنْت ] [أَنْتَ المُقَـدِّمُ وَأَنْتَ المُـؤَخِّر  لا إِاـهَ إِلاّ أَنْـت] [أَنْـتَ إِلـهي لا إِاـهَ إِلاّ أَنْـت,"Allāhumma lakal-ḥamdu 'Anta nūrussamāwāti wal'arḍhi wa man fīhinna. wa lakal-ḥamdu 'Anta qayyimus-samāwāti wal'arḍi wa man fīhinna,[wa lakal-ḥamdu 'Anta Rabbus-samāwāti wal'arḍi wa man fīhinna][wa lakal-ḥamdu laka mulkus-samāwāti wal'arḍi wa man fīhinna][wa lakal-ḥamdu 'Anta Malikus-samāwāti wal'arḍi][wa lakal-ḥamdu]['Antal-ḥaqq, wa wa`dukal-ḥaqq. wa qawlukal-ḥaqq, wa liqā'ukal-ḥaqq. waljannatu ḥaqq, wannāru ḥaqq. wannabiyyūna ḥaqq, wa Muḥammadun (sallallāhu 'alayhi wa sallam) ḥaqq. wassā`atu ḥaqq][Allāhumma laka 'aslamtu, wa `alayka tawakkaltu. wa bika 'āmantu, wa 'ilayka 'anabtu. wa bika khāṣamtu, wa 'ilayka ḥākamtu. Faghfir lī maa qaddamtu, wa mā 'akhkhartu. wa mā 'asrartu, wa mā 'a`lantu ['Antal-Muqaddimu, wa 'Antal-Mu'akhkhirulaa 'ilāha 'illā 'Anta]['Anta 'ilāhī lā 'ilāha 'illā 'Anta].","O Allah, praise is to You. You are the Light of the heavens and the earth and all that they contain. Praise is to You, You are the Sustainer of the heavens and the earth and all they contain. [Praise is to You, You are the Lord of the heavens and the earth and all they contain.] [Praise is to You, Yours is dominion of the heavens and the earth and all they contain.][Praise is to You, You are the King of the heavens and the earth.] [And praise is to You.] [You are the Truth, Your Promise is true, Your Word is true, Your audience is true, Paradise is true, Hell is true, the Prophets are true, and Muhammad (peace and blessings be upon him) is true, and the Hour of Judgment is true.][O Allah, to You I have submitted, and upon You I depend. I have believed in You and to You I turn in repentance. For Your sake I dispute and by Your standard I judge. Forgive me what I have sent before me and what I have left behind me, what I have concealed and what I have declared.][You are the One Who sends forth and You are the One Who delays, there is none who has the right to be worshipped but You.][You are my God, there is none who has the right to be worshipped butYou.]","Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 3/3 , 11/ 116, 13/371, 423, 465. See also Muslim for a shorter account, 1/532.Hisnul Muslim 32"
Chapter 17: While bowing in prayer,5 du'as,سُبْـحانَ رَبِّـيَ الْعَظـيم (ثلاث مرات),Subḥāna Rabbiyal-`Aẓīm.,Glory to my Lord the Exalted (three times in Arabic),"Reference:Abu Dawud, Ibn Majah, An-Nasa'i, At-Tirmidhi, and Ahmad. See Al-Albani's Sahih At-Tirmidhi 1/83.Hisnul Muslim 33"
Uncategorized,N/A,سُبْـحانَكَ اللّهُـمَّ رَبَّـنا وَبِحَـمْدِك  اللّهُـمَّ اغْفِـرْ لي,Subḥānaka Allāhumma Rabbanā wa biḥamdika Allāhum-maghfir lī.,"Glory is to You, O Allah, our Lord, and praise is Yours. O Allah, forgive me.","Reference:Al-Bukhari 1/99, Muslim 1/350.Hisnul Muslim 34"
Uncategorized,N/A,سُبـّوحٌ قُـدّْوس  رَبُّ الملائِكَـةِ وَالـرُّوح,"Subbūḥun, Quddūsun, Rabbul-malā'ikati warrūḥ.","Glory (to You), Most Holy (are You), Lord of the angels and the Spirit.","Reference:Muslim 1/353, Abu Dawud 1/230.Hisnul Muslim 35"
Uncategorized,N/A,اللّهُـمَّ لَكَ رَكَـعْتُ وَبِكَ آمَـنْت ولَكَ أَسْلَـمْت  خَشَـعَ لَكَ سَمْـعي وَبَصَـري  وَمُخِّـي وَعَظْمـي وَعَصَـبي  وَما استَقَـلَّ بِهِ قَدَمي,"Allāhumma laka raka`tu. wa bika 'āmantu, wa laka 'aslamtukhasha`a laka sam`ee wa baṣarī. wa mukhkhī, wa `aẓmī, wa `aṣabī. wa mastaqalla bihi qadamī.","O Allah, to You I bow (in prayer) and in You I believe and to You I have submitted. Before You my hearing is humbled, and my sight, and my mind, my bones, my nerves and what my feet have mounted upon (for travel).","Reference:Muslim 1/534, Abu Dawud, An-Nasa'i and At- Tirmidhi.Hisnul Muslim 36"
Uncategorized,N/A,سُبْـحانَ ذي الْجَبَـروت والمَلَـكوت وَالكِبْـرِياء وَالْعَظَـمَةِ,"Subḥāna dhil-jabarūti, walmalakūti, walkibriyā'i, wal`aẓamati.","Glory is to You, Master of power, of dominion, of majesty and greatness.","Reference:Abu Dawud 1/230, An-Nasa'i and Ahmad. Its chain of narration is good (Hasan).Hisnul Muslim 37"
Chapter 18: Upon rising from the bowing position,3 du'as,سَمِـعَ اللهُ لِمَـنْ حَمِـدَه,Sami`allāhu liman ḥamidah.,Allah hears whoever praises Him.,"Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 2/282.Hisnul Muslim 38"
Uncategorized,N/A,رَبَّنـا وَلَكَ الحَمْـدُ حَمْـداً كَثـيراً طَيِّـباً مُـبارَكاً فيه,"Rabbanā wa lakal-ḥamd,ḥamdan kathīran ṭayyiban mubārakan fīh.","Our Lord, praise is Yours, abundant, good and blessed praise.","Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 2/284.Hisnul Muslim 39"
Uncategorized,N/A,مِلْءَ السَّمـواتِ وَمِلْءَ الأَرْض وَما بَيْـنَهُمـا  وَمِلْءَ ما شِئْـتَ مِنْ شَيءٍ بَعْـد . أَهـلَ الثَّـناءِ وَالمَجـد  أََحَـقُّ ما قالَ العَبْـد  وَكُلُّـنا لَكَ عَـبد . اللّهُـمَّ لا مانِعَ لِما أَعْطَـيْت  وَلا مُعْطِـيَ لِما مَنَـعْت  وَلا يَنْفَـعُ ذا الجَـدِّ مِنْـكَ الجَـد,"Mil'a 's-samāwāti wa mil'a 'l-'arḍi wa mā baynahumā. wa mil'a mā shi'ta min shay'in ba`d.'Ahla 'th-thanā'i wa 'l-majdi,'aḥaqqu mā qāla 'l-`abdu. wa kullunā laka `abdun. Allāhumma lā māni`a limā 'a`ṭayta. wa lā mu`ṭiya limā mana`ta. wa lā yanfa`u dhal-jaddi minka 'l-jadd..","(A praise that) fills the heavens and the earth and what lies between them, and whatever else You please. (You Allah) are most worthy of praise and majesty, and what the slave has said - we are all Your slaves. O Allah, there is none who can withhold what You give, and none may give what You have withheld. And the might of the mighty person cannot benefit him against You.",Reference:Muslim 1/346.Hisnul Muslim 40
Chapter 19: While prostrating,7 du'as,سُبْـحانَ رَبِّـيَ الأَعْلـى.(ثلاث مرات),Subḥāna Rabbiya ‘l-a`lā.,"Glory is to my Lord, the Most High.(This is said three times in Arabic.)","Reference:Abu Dawud, Ibn Majah, An-Nasa'i, At-Tirmidhi, and Ahmad. See also Al-Albani, Sahih At-Tirmidhi 1/83.Hisnul Muslim 41"
Uncategorized,N/A,سُبْـحانَكَ اللّهُـمَّ رَبَّـنا وَبِحَـمْدِكَ  اللّهُـمَّ اغْفِرْ لي,Subḥānaka Allāhumma Rabbanā wa biḥamdika Allāhumma ‘ghfir lī.,"Glory is to You, O Allah, our Lord, and praise is Yours. O Allah, forgive me.","Reference:Al-Bukhari and Muslim, see invocation no. 34 above.Hisnul Muslim 42"
Uncategorized,N/A,سُبـّوحٌ قُـدّوس رَبُّ الملائِكَـةِ وَالـرُّوح,"Subbūḥun, Quddūsun, Rabbu ‘l-malā'ikati warrūḥ.","Glory (to You), Most Holy (are You), Lord of the angels and the Spirit.","Reference:Muslim 1/533, see invocation no. 35 above.Hisnul Muslim 43"
Uncategorized,N/A,اللّهُـمَّ لَكَ سَـجَدْتُ وَبِـكَ آمَنْـت  وَلَكَ أَسْلَـمْت  سَجَـدَ وَجْهـي للَّـذي خَلَقَـهُ وَصَـوَّرَهُ وَشَقَّ سَمْـعَـهُ وَبَصَـرَه  تَبـارَكَ اللهُ أَحْسـنُ الخـالِقيـن,"Allāhumma laka sajadtuwa bika āmantu. wa laka aslamtu. sajada waj’hiya lilladhī khalaqahu, wa ṣawwarahu. wa shaqqa sam`ahu wa baṣarahu. tabārakallāhu 'aḥsanul-khāliqīn.","O Allah, to You I prostrate myself and in You I believe. To You I have submitted. My face is prostrated to the One Who created it, fashioned it, and gave it hearing and sight. Blessed is Allah, the Best of creators",Reference:Muslim 1/534 and others.Hisnul Muslim 44
Uncategorized,N/A,سُبْـحانَ ذي الْجَبَـروت والمَلَكـوت والكِبْـرِياء وَالعَظَمَـةِ.,"Subḥāna dhi ’l-jabarūti, wa ’l-malakūti, wa ‘l-kibriyā'i, wa ‘l-aẓamati.","Glory is to the master of power, sovereignty, of majesty and greatness.","Reference:Abu Dawud 1/230, An-Nasa'i, Ahmad. See also Al-Albani, Sahih Abu Dawud 1/166, see invocation no. 37 above.Hisnul Muslim 45"
Uncategorized,N/A,اللّهُـمَّ اغْفِـرْ لي ذَنْـبي كُلَّـه  دِقَّـهُ وَجِلَّـه  وَأَوَّلَـهُ وَآخِـرَه  وَعَلانِيَّتَـهُ وَسِـرَّه,Allāhumma’ghfir lī dhanbī kullahu. diqqahu wa jillahu. wa awwalahu wa ākhirahuwa `alāniyyatahu wa sirrahu.,"O Allah, forgive me all my sins, great and small, the first and the last, those that are apparent and those that are hidden.",Reference:Muslim 1/350.Hisnul Muslim 46
Uncategorized,N/A,اللّهُـمَّ إِنِّـي أَعـوذُ بِرِضـاكَ مِنْ سَخَطِـك  وَبِمعـافاتِـكَ مِنْ عُقوبَـتِك  وَأَعـوذُ بِكَ مِنْـك  لا أُحْصـي ثَنـاءً عَلَـيْك  أَنْـتَ كَمـا أَثْنَـيْتَ عَلـى نَفْسـِك,Allāhumma innī a`ūdhu biriḍāka min sakhaṭika. wa bimu`āfātika min `uqūbatikawa a`ūdhu bika minkalā uḥṣī thanā'an `alaykaanta kamā athnayta `alā nafsika.,"O Allah, I seek protection in Your pleasure from Your anger, and I seek protection in Your forgiveness from Your punishment. I seek protection in You from You. I cannot count Your praises. You are as You have praised Yourself.",Reference:Muslim 1/352.Hisnul Muslim 47
Chapter 20: Between the two prostrations,2 du'as,رَبِّ اغْفِـرْ لي  رَبِّ اغْفِـرْ لي,"Rabbi’ghfir lī, Rabbi’ghfir lī.","Lord, forgive me. My Lord, forgive me.","Reference:Abu Dawud 1/231. See also Al-Albani, Sahihibn Mdjah 1/148.Hisnul Muslim 48"
Uncategorized,N/A,اللّهُـمَّ اغْفِـرْ لي  وَارْحَمْـني  وَاهْدِنـي  وَاجْبُرْنـي  وَعافِنـي وَارْزُقْنـي وَارْفَعْـني,"Allāhumma’ghfir lī, war’ḥamnī. wahdinī, wajburnī. wa `āfinī, warzuqnī, warfa`nī.","O Allah forgive me, have mercy on me, guide me, support me, protect me, provide for me, and elevate me.","Reference:Abu Dawud, Ibn Majah, At-Tirmidhi. See also Al-Albani, Sahih At-Tirmidhi 1/90 and Sahih Ibn Majah 1/148.Hisnul Muslim 49"
Chapter 21: When prostrating due to recitation of the Quran,2 du'as,سَجَـدَ وَجْهـي للَّـذي خَلَقَـهُ وَشَقَّ سَمْـعَـهُ وَبَصَـرَهُ بِحَـوْلِـهِ وَقُـوَّتِهِ ﴿فتَبـارَكَ اللهُ أَحْسَـنُ الخـالِقيـن﴾.,Sajada wajhiya lilladhī khalaqahu. wa shaqqa sam`ahu wa baṣarahu biḥawlihi wa quwwatihi. Fatabārakallāhu 'aḥsanul-khāliqīn.,"I have prostrated my face to the One Who created it, and gave it hearing and sight by His might and His power. Glory is to Allah, the Best of creators.","Reference:At-Tirmidhi 2/474, Ahmad 6/30, and Al-HakimHisnul Muslim 50"
Uncategorized,N/A,اللّهُـمَّ اكْتُـبْ لي بِهـا عِنْـدَكَ أَجْـراً  وَضَـعْ عَنِّـي بِهـا وِزْراً  وَاجْعَـلها لي عِنْـدَكَ ذُخْـراً  وَتَقَبَّـلها مِنِّي كَمَا تَقَبَّلْتَهَا مِنْ عَبْدِكَ دَاوُدَ.,Allāhummak’tub lī bihā `indaka ajra. waḍa` `annī bihā wizra. waj`alhā lī `indaka dhukhra. wa taqabbal’hā minnī kamā taqabbal’tahā min `abdika Dāwūd.,"O Allah, write it as a reward for me, and release me from a burden for it, and make it a treasure for me with You. Accept it from me as You accepted it from your servant Dawud.","Reference:At-Tirmidhi 2/473, and Al-Hakim who graded it authentic and Ath-Thahabi agreed 1/219.Hisnul Muslim 51"
